longtitude,latitude
-117.190289772,32.864646574
-117.190108963,32.864456968
-117.189925376,32.864266269
-117.189739535,32.864073271
-117.189551168,32.863877345
-117.18936114,32.863678845
-117.189168413,32.863477209
-117.188973902,32.863273172
-117.183097367,32.855395592
-117.182953106,32.855171532
-117.182813132,32.854945161
-117.182672863,32.854716753
-117.182530615,32.854486678
-117.182386297,32.854253436
-117.182242193,32.854017734
-117.182097959,32.853780968
-117.181952757,32.853542978
-117.181806783,32.853304013
-117.181659795,32.853063435
-117.181511799,32.852821085
-117.18136302,32.852576566
-117.181214128,32.852331151
-117.181064005,32.852084242
-117.180915118,32.851838104
-117.18076533,32.851595034
-117.180614749,32.851353589
-117.18046446,32.851111538
-117.180314399,32.850868291
-117.180166533,32.85062463
-117.180022343,32.850380365
-117.179879292,32.850135875
-117.179736259,32.849891619
-117.17959318,32.84964811
-117.179450583,32.849406527
-117.179308806,32.84916729
-117.179168799,32.848930708
-117.179029997,32.848697209
-117.178891691,32.848467351
-117.178753882,32.848240529
-117.178616867,32.848016237
-117.178478376,32.847793036
-117.178339975,32.847570048
-117.178202197,32.847347155
-117.178066579,32.847123932
-117.177931668,32.846900418
-117.177796181,32.846675877
-117.177659543,32.846450712
-117.17752194,32.846224054
-117.177383647,32.845995473
-117.17724282,32.845765638
-117.177099878,32.845533836
-117.176954623,32.845299331
-117.176808182,32.845061913
-117.176660872,32.844822449
-117.176512391,32.844581107
-117.176362168,32.844337988
-117.176211835,32.844093781
-117.176062156,32.843847659
-117.175912172,32.843600955
-117.175761313,32.843353881
-117.175609926,32.843106051
-117.17545795,32.84285907
-117.175305555,32.842610451
-117.175152913,32.842360714
-117.175000364,32.842110164
-117.174847376,32.841858767
-117.174693442,32.8416074
-117.174538485,32.841356558
-117.174377753,32.841105919
-117.174213829,32.840856404
-117.174052719,32.840605248
-117.173893646,32.840352126
-117.173736148,32.840097849
-117.173578842,32.839842088
-117.173421954,32.839584934
-117.173265803,32.839327481
-117.173110022,32.839070031
-117.172953728,32.838812405
-117.172796901,32.83855441
-117.172638786,32.838296594
-117.172480903,32.838038904
-117.172323211,32.837781168
-117.172165664,32.837523454
-117.172008487,32.837265819
-117.17185172,32.837009297
-117.171695154,32.836753471
-117.171539225,32.836497789
-117.171383482,32.836242146
-117.171227683,32.835985817
-117.171071908,32.835729499
-117.170914799,32.835472971
-117.170756687,32.835215799
-117.170598812,32.83495753
-117.170440786,32.834698761
-117.170282404,32.834440837
-117.170126134,32.834185797
-117.16997187,32.833931938
-117.169817732,32.833681034
-117.169660518,32.833419898
-117.169504204,32.833164608
-117.169345889,32.832904924
-117.169188233,32.832645375
-117.16903396,32.832384657
-117.16887628,32.832124684
-117.168719865,32.831861165
-117.168564062,32.831596166
-117.16841173,32.831328513
-117.168257382,32.831060606
-117.168099852,32.830794225
-117.167944248,32.830526899
-117.167790473,32.830258845
-117.167637631,32.829991772
-117.167484433,32.829724711
-117.16733073,32.829457435
-117.167173993,32.829192683
-117.16701457,32.828930254
-117.166854385,32.828669711
-117.166695337,32.828409061
-117.166536895,32.828151171
-117.166379798,32.827894155
-117.166224013,32.827637315
-117.166063945,32.827380684
-117.165906874,32.827126621
-117.165753025,32.826874337
-117.165600832,32.826621734
-117.165450266,32.826370423
-117.165304359,32.826121384
-117.165164895,32.825870733
-117.165031127,32.825619799
-117.164901795,32.825367489
-117.164772198,32.825116575
-117.164637708,32.824868196
-117.164499691,32.824621611
-117.164358863,32.824376059
-117.164216413,32.824131467
-117.164073968,32.823885882
-117.163929178,32.823640933
-117.163785359,32.823394665
-117.163643653,32.823153133
-117.163507322,32.822918122
-117.163376488,32.822692989
-117.163255285,32.822480097
-117.163148847,32.822282387
-117.163060686,32.82209783
-117.162977394,32.821921778
-117.162883961,32.821735235
-117.162805847,32.821575822
-117.162717674,32.821428104
-117.162641694,32.821286425
-117.162600792,32.821143169
-117.162620072,32.821015692
-117.162686826,32.820906445
-117.162791955,32.820828509
-117.162917577,32.820783452
-117.163057929,32.820771832
-117.163195667,32.820795435
-117.163318448,32.820852406
-117.163414589,32.820936572
-117.163473111,32.821040621
-117.163491295,32.821153779
-117.163472701,32.821261265
-117.163421044,32.821358771
-117.163341596,32.821435674
-117.163239519,32.821490297
-117.163121398,32.821519347
